company,category,claim,page,confidence_score,risk_level,risk_reason
TSMC,governance,"the survey results and management actions for the 1,294 tier 1 suppliers in 2023 are disclosed, along with the total characteristics, and potential environmental, social, and governance negative impact risks.",85,0.83,Medium,"Specific claim, but missing external validation."
TSMC,supply_chain,Reduce supplierNote 9 carbon emissions by Reduce supplier carbon emissions by 8% Reduced supplier carbon emissions by 4% comparing to BAU,87,0.84,Medium,"Specific claim, but missing target year, external validation."
TSMC,emissions,"TSMC requires , and the inclusion of carbon-reduction performance",88,0.73,High,Vague or aspirational claim without a measurable KPI.
TSMC,emissions,of Conduct and to complete an SAQ to enhance advancing toward the goal of net zero emissions.,88,0.74,High,Vague or aspirational claim without a measurable KPI.
TSMC,emissions,"Analysis ● Overview of the EU CBAM international carbon tariffs in the global net zero 104 TSMC established a rigorous evaluation process. stability, laying a solid foundation for the Company’s",90,0.84,High,Vague or aspirational claim without a measurable KPI.
TSMC,supply_chain,"risk indicators such as "" accounting for 85% of procurement",91,0.82,Medium,"Specific claim, but missing target year, external validation."
TSMC,supply_chain,"based on ""supply chain risk and quality and ● No safety stock established for critical objectives and initiate corrective measures Reduce quality Suppliers Optimize quality",94,0.73,High,Vague or aspirational claim without a measurable KPI.
TSMC,supply_chain,Achieve Breakthrough in Risk Management with 93% Closure Rate for Audited Supplier Deficiencies,96,0.84,Medium,"Specific claim, but missing target year, external validation."
TSMC,supply_chain,TSMC converts its operational and manufacturing Supply Chain on Environmental Safety its carbon reduction program for major emission,97,0.76,Medium,"Specific claim, but missing specific metric, target year."
TSMC,supply_chain,● Supplier ● Supplier Fire Protection ● Audit and guide ● Establish a supplier Inspect hazardous materials and execute on,99,0.74,High,Vague or aspirational claim without a measurable KPI.
TSMC,emissions,"suppliers progressively achieve their carbon reduction 2024 , a standardized platform that provides emission",103,0.83,Medium,"Specific claim, but missing specific metric, external validation."
TSMC,emissions,"230,000 tons of carbon reduction",103,0.83,Medium,"Specific claim, but missing target year, external validation."
TSMC,emissions,"implement carbon reduction plans , the Company",103,0.73,High,Vague or aspirational claim without a measurable KPI.
TSMC,supply_chain,launched the Supplier Carbon Reduction Plan M C,103,0.76,High,Vague or aspirational claim without a measurable KPI.
TSMC,emissions,achieving a 100% response rate (up from 98% reduction and broaden the scope of execute cost-effective emission reduction,103,0.84,Medium,"Specific claim, but missing target year, external validation."
TSMC,renewable_energy,"92% of respondents had established emission external consultants, the Company also identified NT$84 million is allocated in funding 280 million kWh of green electricity",103,0.83,Medium,"Specific claim, but missing target year, external validation."
TSMC,supply_chain,"To expedite suppliers' shift to low-carbon operations, advancing supply chain carbon governance from a Greenhouse Gas Inventories certified all 40 supplier continued guidance to enhance green performance,",104,0.84,Medium,"Specific claim, but missing target year."
TSMC,emissions,", assisting 14 suppliers in performing factory introductory and advanced levels to help suppliers inventories and reinforced data accuracy, while aiding suppliers certified under ISO 14064 Greenhouse Gas",104,0.83,Medium,"Specific claim, but missing target year."
TSMC,emissions,"greenhouse gas inventories, product carbon refine questionnaire responses, engaging 349 suppliers in overseeing emissions across their supply Accounting and Verification rose from 84% in 2023",104,0.82,Medium,"Specific claim, but missing external validation."
TSMC,emissions,"Additionally, a training demonstrating key emission source identification and average waste recycling rate of 80%.",104,0.83,Medium,"Specific claim, but missing target year, external validation."
TSMC,emissions,"and achieve tangible emissions reductions, TSMC emission reduction targets, and complete third-party launching the second phase of the Joint Renewable electronic-grade metal materials.",105,0.74,Medium,"Specific claim, but missing specific metric, target year."
TSMC,supply_chain,introduced the Supply Chain Carbon Reduction verification of product carbon footprints by 2026.,105,0.84,Medium,"Specific claim, but missing specific metric, external validation."
TSMC,emissions,"total of NT$84 million to support 26 suppliers in business interactions or partnership termination, with reduction benefits, the Company collaborated with emissions abatement opportunities and established",105,0.83,Medium,"Specific claim, but missing target year, external validation."
TSMC,emissions,"consumption, equivalent to a carbon reduction of 59,000 tons",105,0.83,Medium,"Specific claim, but missing target year, external validation."
TSMC,emissions,Manufacturing Reduce unit GHGNote 1 emissions by 30% Reduce unit GHG emissions (metric ton of Increased unit GHG emissions (metric ton of carbon dioxide equivalent,108,0.83,Medium,"Specific claim, but missing target year, external validation."
TSMC,emissions,available technology ton of carbon dioxide equivalent equivalent wafer mask layer) by 10% (Base Target: 10% (Base year: 2020),108,0.83,Medium,"Specific claim, but missing external validation."
TSMC,emissions,to reduce emissions of (MTCO 2 e)/12-inch equivalent wafer year: 2020),108,0.83,Medium,"Specific claim, but missing specific metric, external validation."
TSMC,renewable_energy,to achieve target of 100% renewable energy TSMC's power consumption,108,0.9,Medium,"Specific claim, but missing target year."
TSMC,emissions,To reach the target of net zero emissions by Strengthen Climate Resilience,109,0.75,High,Vague or aspirational claim without a measurable KPI.
TSMC,emissions,declaring the target of net zero 100% in 2040,109,0.84,Medium,"Specific claim, but missing external validation."
TSMC,emissions,contributors to sign the GHG emissions reduction All TSMC offices used 100% renewable carbon credits quality standards and Project”,109,0.84,Medium,"Specific claim, but missing target year, external validation."
TSMC,emissions,TSMC overseas sites achieved net zero memorandum of understanding for net zero,109,0.74,High,Vague or aspirational claim without a measurable KPI.
TSMC,emissions,Total GHG emissions and carbon taxes/carbon levy Set aggressive carbon reduction targets: commit to net zero emissions from global operations by 2050,110,0.86,Medium,"Specific claim, but missing specific metric, external validation."
TSMC,emissions,Establish carbon credit purchase strategy and implement net zero measures for overseas fabs,110,0.74,High,Vague or aspirational claim without a measurable KPI.
TSMC,governance,Energy Saving and Carbon Reduction Committee defined the five major energy conservation teams and adopted the achievement,112,0.74,High,Vague or aspirational claim without a measurable KPI.
TSMC,emissions,● Assist suppliers in enhancing awareness and adaptability to climate Required major emission contributors to execute GHG emission reduction agreement and commit to the reduction targets NEW,112,0.75,High,Vague or aspirational claim without a measurable KPI.
TSMC,emissions,"risks, develop and implement specific carbon reduction actions",112,0.73,High,Vague or aspirational claim without a measurable KPI.
TSMC,supply_chain,Implemented “TSMC Supply Chain Carbon Reduction Action Strategy ” to assist suppliers in achieving the carbon reduction targets NEW,112,0.74,High,Vague or aspirational claim without a measurable KPI.
TSMC,emissions,● Through ISO 14064 annual inventory and disclosure of GHG Continued to implement carbon reduction measures based on various inventory and evaluation results.,112,0.83,Medium,"Specific claim, but missing specific metric, target year."
TSMC,emissions,"TSMC reviews its overall carbon reduction efforts 3 accounted for 39%, mainly from upstream activities carbon reduction measures and increase the certificates, with a cumulative of 51 factories",113,0.84,Medium,"Specific claim, but missing target year, external validation."
TSMC,supply_chain,"Direct emissions production capacity in advanced processes, GHG TSMC continues to implement GHG reduction established “TSMC Supply Chain Carbon Reduction",113,0.73,High,Vague or aspirational claim without a measurable KPI.
TSMC,emissions,"from Scope 1 processes, such as F-GHGs and nitrous emissions increased by 8% from the preceding year, standard practices.",113,0.85,Medium,"Specific claim, but missing target year, external validation."
TSMC,emissions,"the major emission source, accounted for 52%; annual target.",113,0.84,Medium,"Specific claim, but missing target year, external validation."
TSMC,emissions,"TSMC will continue to enhance the gases to reduce direct emissions of 390,000 tCO 2 e, decarbonization and creating a green semiconductor",113,0.95,High,Vague or aspirational claim without a measurable KPI.
TSMC,emissions,"advanced process capacities hubs, reducing emission levels to reduce GHG emission",113,0.73,High,Vague or aspirational claim without a measurable KPI.
TSMC,renewable_energy,Join RE100 to 2020 and Achieve RE100,113,0.82,Medium,"Specific claim, but missing specific metric."
TSMC,emissions,"a carbon reduction of nearly 400,000 metric tons response rate of 100%",114,0.83,Medium,"Specific claim, but missing target year, external validation."
TSMC,emissions,"consumption of natural gases and reduced carbon by Semiconductor Manufacturing Tool Energy Conservation replaced air freight with ocean freight, reducing GHG",114,0.72,High,Vague or aspirational claim without a measurable KPI.
TSMC,emissions,Ministry of Economic Affairs in 2023; TSMC (China) adopted average emission factor of power grids in Shanghai City of 0.5849 kg CO2e/kWh in 2022;,115,0.82,Medium,"Specific claim, but missing specific metric, external validation."
TSMC,emissions,"compared to 2020, primarily due to global economic In 2024, TSMC adopted the “Carbon Handprint” major smart applications , contributed to saving 141 Through positive thinking, businesses are",116,0.83,Medium,"Specific claim, but missing specific metric, external validation."
TSMC,renewable_energy,The goal is to reduce carbon Hydraulic power Wind power,117,0.73,High,Vague or aspirational claim without a measurable KPI.
TSMC,emissions,Note 3: The Scope 1 inventory datas adopted business control approach as the inventory basis; the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse GaseInventories (GWP) was adopted from 2020 to 2024.,119,0.85,Medium,"Specific claim, but missing specific metric, external validation."
TSMC,emissions,● Smart lighting in clean rooms ● Reduce PCW and exhaust emissions from manufacturing,121,0.72,High,Vague or aspirational claim without a measurable KPI.
TSMC,emissions,Energy-saving Conserved Reduced of CO2 Savings,121,0.72,High,Vague or aspirational claim without a measurable KPI.
TSMC,emissions,Energy-saving Conserved Reduced of CO2,121,0.72,High,Vague or aspirational claim without a measurable KPI.
TSMC,emissions,Energy-saving Conserved Reduced of CO2 Savings All Fabs,121,0.72,High,Vague or aspirational claim without a measurable KPI.
TSMC,emissions,Reduce the CO emissions from waste Promote three projects to reuse instead of Promote three projects to reuse instead of incinerate and reduce,135,0.73,High,Vague or aspirational claim without a measurable KPI.
TSMC,emissions,increase the amount of treatment to th 2 e same as 2020 emission incinerate carbon emissions by 483 metric tonsNote 4,135,0.85,Medium,"Specific claim, but missing specific metric, external validation."
TSMC,emissions,"According to the carbon emission calculation results for 2024, emissions from incineration are the main source, accounting for approximately 87%.",135,0.84,Medium,"Specific claim, but missing external validation."
TSMC,emissions,Thin film Nitrous oxide (N2O) Hig t h h - e t r e m m a p l+ e w ra e t t ure >90% ● Circulating water flow implementing the reduction in air pollution emissions.,149,0.83,Medium,"Specific claim, but missing target year, external validation."
TSMC,emissions,"increased from 42% to 90%, and the emissions of NO",150,0.83,Medium,"Specific claim, but missing target year, external validation."
TSMC,supply_chain,"In addition, fabs in Taiwan applied 2024 to establish a chemical and mixed acid hazard with its supply chain to develop personal protective and requirements.",188,0.83,Medium,"Specific claim, but missing specific metric, external validation."
TSMC,governance,them prevent cerebral and cardiovascular diseases the Disease Prevention Committee continued to develop anti-pandemic escape in the wafer-breaking established a full-time control,200,0.73,High,Vague or aspirational claim without a measurable KPI.
TSMC,governance,Treadway Commission) to establish its risk governance review TSMC’s ERM framework.,237,0.72,High,Vague or aspirational claim without a measurable KPI.
TSMC,governance,"organization, integrating operational and business the risk management governance structure includes Academy, established to raise the risk competency and continues to reinforce risk communication through risk",237,0.73,High,Vague or aspirational claim without a measurable KPI.
TSMC,governance,TSMC also established the PIP and Risk Committee environment and protecting customer proprietary,245,0.74,High,Vague or aspirational claim without a measurable KPI.
TSMC,governance,The ESG Committee has established a cross-functional Human Rights Working Group to implement human rights,249,0.73,High,Vague or aspirational claim without a measurable KPI.
TSMC,governance,Establish Policy and Take Investigation and Enhance Engagement ESG Steering Committee ESG Committee,249,0.73,High,Vague or aspirational claim without a measurable KPI.
TSMC,governance,The board of Directors Prevent and reduce adverse Promote training workshops Drives efforts in human rights management,249,0.73,High,Vague or aspirational claim without a measurable KPI.
TSMC,governance,Establish Internal Control System ESG Committee Chairperson ● ESG AWARD Website,254,0.72,High,Vague or aspirational claim without a measurable KPI.
TSMC,governance,"● Establish an internal control system for sustainability disclosures, clearly with climate-related financial impact analyses , and establish a climate",255,0.73,High,Vague or aspirational claim without a measurable KPI.
TSMC,supply_chain,Supply Chain Increase overseas subsidiaries sourcing of indirect raw materials (%) - - 33.1%,265,0.82,Medium,"Specific claim, but missing target year, external validation."
TSMC,supply_chain,Supplier carbon emissions reduce rate (Comparing result from the BAU situation) - 2% 4%,265,0.84,Medium,"Specific claim, but missing target year, external validation."
TSMC,supply_chain,Score and reponse rate of suppliers invited to participate in the CDP (Carbon Disclosure Project) in the year C / 81% B- / 98% B- / 100%,266,0.84,Medium,"Specific claim, but missing target year."
TSMC,emissions,High-energy-consumption suppliers that have received ISO14064 certification for GHG emissions (%) (Base year: 2021) 65% 84% 90%,266,0.83,Low,"Specific metric, target year, and evidence or validation are present."
TSMC,emissions,"Note 4: To ensure consistent data in GHG inventory and reduction goals after 2020, inventory data for Scope 1 complies with the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gases Inventories starting from 2020.",266,0.85,Medium,"Specific claim, but missing specific metric, external validation."
TSMC,renewable_energy,Renewable energy used at overseas subsidiaries (%) 100% 100% 100%,267,0.88,Medium,"Specific claim, but missing target year."
TSMC,emissions,and reduce carbon emissions and reduce carbon emissions,268,0.72,High,Vague or aspirational claim without a measurable KPI.
TSMC,emissions,Reduction in air pollutant emissions per unit of production (%) 59% 50% 47%,269,0.83,Medium,"Specific claim, but missing target year, external validation."
ASEH,emissions,"In 2024, we continued our journey to create sustainable impact through the implementation of green energy and carbon reduction.",2,0.83,Medium,"Specific claim, but missing specific metric, external validation."
ASEH,emissions,standards to establish our greenhouse gas reduction targets as well as for launching net-zero initiatives.,2,0.75,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,suppliers to adopt carbon reduction practices.,2,0.73,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,ASEH is firmly committed to achieving net-zero emissions and has aligned its greenhouse gas reduction goals within the framework,4,0.75,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,"To advance these goals across all our subsidiary companies, we have launched net-zero initiatives based on five",4,0.72,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,"and SPIL, a groundbreaking milestone was achieved in global carbon management and emissions reduction practices that further",4,0.74,High,Vague or aspirational claim without a measurable KPI.
ASEH,governance,"In 2023, the International Sustainability Standards Board (ISSB) issued the IFRS Sustainability Disclosure Standards (IFRS",5,0.86,Medium,"Specific claim, but missing specific metric, external validation."
ASEH,governance,"its decision to adopt IFRS standards, mandating listed companies to comply through regulations issued by the Taiwan Stock Exchange.",5,0.73,High,Vague or aspirational claim without a measurable KPI.
ASEH,governance,A cross-functional task force was established to bring together all subsidiary companies and include units responsible for risk,5,0.77,Medium,"Specific claim, but missing specific metric, target year."
ASEH,supply_chain,"To further encourage suppliers to adopt sustainable practices, ESG performance will constitute 10% of the supplier evaluation criteria, alongside",5,0.85,Medium,"Specific claim, but missing target year, external validation."
ASEH,emissions,"operational strategy, we identified priority suppliers for carbon reduction engagement and established more ambitious expectations for these key",5,0.73,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,external consultancy support to help suppliers strengthen their internal carbon inventory capabilities and reduce their carbon emissions.,5,0.73,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,consultancy program include support for identifying high-emission processes and formulating tailored reduction strategies.,5,0.74,High,Vague or aspirational claim without a measurable KPI.
ASEH,renewable_energy,"facilities’ energy consumption is sourced from renewables, with 88% upstream low-carbon transportation, and the development of a low",12,0.89,Medium,"Specific claim, but missing target year."
ASEH,supply_chain,"internal carbon pricing was implemented at 100% of all global sites, strengthening shared commitment with supplier partners toward",12,0.83,Medium,"Specific claim, but missing target year, external validation."
ASEH,supply_chain,"In Taiwan, 14 of our facilities have achieved Green Factory Certification. introduced a 10% sustainability performance metric into our supplier",12,0.89,Medium,"Specific claim, but missing target year."
ASEH,emissions,transforming carbon reduction into a company-wide movement. develop energy-efficient machinery aimed at achieving a 20% energy,12,0.83,Medium,"Specific claim, but missing target year, external validation."
ASEH,emissions,"ASEH has pledged to achieve net-zero emissions by 2050 by setting clear short, mid and Expand the influence of net",22,0.83,Medium,"Specific claim, but missing specific metric, external validation."
ASEH,renewable_energy,"efficiency, reduce GHG emissions, and management: Establish Renewable energy to account for Renewable energy to account Renewable energy to account",27,0.73,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,Climate change is a major global Reduce GHG emissions & provide GHG emissions inventory coverage GHG emissions inventory GHG emissions inventory,27,0.72,High,Vague or aspirational claim without a measurable KPI.
ASEH,renewable_energy,"In 2024, renewable energy accounted for 19% of our total electricity",34,0.85,Medium,"Specific claim, but missing external validation."
ASEH,supply_chain,"As a result, local procurement spending showed a modest increase of approximately 2%.",34,0.82,Medium,"Specific claim, but missing target year, external validation."
ASEH,emissions,"We will continue to reduce greenhouse gas emissions, waste, and water",36,0.75,High,Vague or aspirational claim without a measurable KPI.
ASEH,governance,metrics These issues were formally presented to the Board of Directors and validated,43,0.73,Medium,"Specific claim, but missing specific metric, target year."
ASEH,emissions,Implement in-plant energy-saving and carbon reduction initiatives,49,0.74,High,Vague or aspirational claim without a measurable KPI.
ASEH,governance,"The board of directors of the company (the “Board”) established the “Audit Committee”, “Compensation Committee”, “Risk",56,0.73,High,Vague or aspirational claim without a measurable KPI.
ASEH,governance,"In addition, the Resource Integration and Decision-Making Committee was established Resource Integration and Decision-Making Committee since",56,0.74,High,Vague or aspirational claim without a measurable KPI.
ASEH,governance,"the functional committees with respect to leading and supervising the company’s performance, we established a board of directors",58,0.74,High,Vague or aspirational claim without a measurable KPI.
ASEH,governance,Governance Taskforce under the CSISC of the three major subgroups is established to promote,61,0.73,High,Vague or aspirational claim without a measurable KPI.
ASEH,governance,implementation status of the Board and management levels within its quarterly and annual financial reports in 2024.,62,0.83,Medium,"Specific claim, but missing specific metric, external validation."
ASEH,supply_chain,"addition to the ""ASEH Supplier Code of Conduct Commitment",62,0.73,High,Vague or aspirational claim without a measurable KPI.
ASEH,governance,"ASEH, we have established a comprehensive risk management architecture in accordance with the ASEH Board of Directors/ Risk Management Committee",64,0.73,High,Vague or aspirational claim without a measurable KPI.
ASEH,governance,Risk Management Policies committee established directly under the board.,64,0.73,High,Vague or aspirational claim without a measurable KPI.
ASEH,governance,The Group Internal Audit (GIA) office was established under the board of directors to perform,64,0.73,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,Launch of Carbon Cost Reduction Project,67,0.73,High,Vague or aspirational claim without a measurable KPI.
ASEH,governance,Internal Control Systems by Public Companies established by Taiwan’s Financial Supervisory board and management in reviewing and evaluating the effectiveness of the internal control,68,0.74,High,Vague or aspirational claim without a measurable KPI.
ASEH,governance,"overseeing various projects and reporting their implementation status to the Board, with the goal of balancing",70,0.73,High,Vague or aspirational claim without a measurable KPI.
ASEH,governance,"The Corporate Sustainability and Information Security Committee has established at all facilities, collates and reports the information to the ASEH",74,0.74,High,Vague or aspirational claim without a measurable KPI.
ASEH,supply_chain,"Labor Labor Annual audits or RBA VAP to assess suppliers’ human rights ASEH has established a supplier sustainability audit financial compensation, or to implement policy",79,0.73,High,Vague or aspirational claim without a measurable KPI.
ASEH,supply_chain,"2022, ASEH has established the Supplier Cybersecurity Assessment and Execution System, which primarily focuses on",86,0.84,Medium,"Specific claim, but missing specific metric, external validation."
ASEH,governance,"2011, ASE established the ASE CIM Committee, a strategic Standards (SECS), equipment connectivity was",90,0.84,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,"2030, we aim to achieve full integration of product carbon footprint",98,0.83,Medium,"Specific claim, but missing specific metric, external validation."
ASEH,emissions,PCBA ★ ★ Examples: O 2 gas replaces CF 4 gas to reduce carbon,98,0.83,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,Net-Zero emissions target Development of carbon sink,103,0.72,High,Vague or aspirational claim without a measurable KPI.
ASEH,supply_chain,(Scope 3) compared to 2016 Achieved compared to 2020 compared to 2020,104,0.82,Medium,"Specific claim, but missing specific metric, external validation."
ASEH,emissions,Low-Carbon Transportation: Use low-carbon vehicles to reduce our carbon footprint.,106,0.72,High,Vague or aspirational claim without a measurable KPI.
ASEH,supply_chain,Supply Chain Engagement: Collaborate closely with suppliers to improve their carbon inventory capabilities and implement carbon reduction programs.,106,0.75,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,Investment in Carbon Credits: Invest in carbon sink and capture technologies to reduce environmental and social costs.,106,0.73,High,Vague or aspirational claim without a measurable KPI.
ASEH,supply_chain,"100% of global facilities have implemented internal carbon pricing, Committing to Science Based Targets and CSA and CDP surveys.",106,0.83,Medium,"Specific claim, but missing target year."
ASEH,emissions,It is assumed that approximately 50% of As carbon reduction regulations,110,0.83,Medium,"Specific claim, but missing target year, external validation."
ASEH,renewable_energy,External Parameters energy with the goal of achieving RE100 by 2050.,112,0.84,Medium,"Specific claim, but missing specific metric."
ASEH,emissions,carbon reduction measures such as carbon capture and offsets—to achieve net,112,0.74,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,"are aimed at an annual emissions reduction of 4.2%, with residual emissions projected to reach 10% by around 2038.",114,0.83,Medium,"Specific claim, but missing external validation."
ASEH,emissions,"Therefore, additional carbon reduction measures will be necessary to meet the targets. stricter carbon pricing scenario.",114,0.74,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,"For China, the carbon price threshold is set based on its 2060 net-zero target pathway. estimated to remain below 1% of total revenue.",114,0.82,Medium,"Specific claim, but missing target year, external validation."
ASEH,emissions,The SBTi Net-Zero Target (SBT-NZ) and the IEA Net-Zero Emissions Scenario (IEA-NZE) are used as benchmark no-action scenario.,114,0.73,Medium,"Specific claim, but missing specific metric, target year."
ASEH,emissions,until they disappear after 2047 as emissions meet the target,114,0.82,Medium,"Specific claim, but missing specific metric, external validation."
ASEH,emissions,"($US/tCOe) emission reduction of 4.2%, with only residual emissions remaining",114,0.83,Medium,"Specific claim, but missing target year, external validation."
ASEH,emissions,"achieved by 2037, carbon fee costs in that year are relatively high.",114,0.82,Medium,"Specific claim, but missing specific metric, external validation."
ASEH,emissions,"Degree of Strategy conducted under the most stringent scenario, taking into account the net-zero target achievement rate, production",115,0.72,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,90% or more by 2050 are allowed to use carbon removal or storage technologies to offset residual emissions that cannot be eliminated.,116,0.83,Medium,"Specific claim, but missing external validation."
ASEH,emissions,"Scope 2 emissions can be reduced through the transition to low-carbon energy, carbon removal technologies are expected to be prioritized",116,0.82,High,Vague or aspirational claim without a measurable KPI.
ASEH,renewable_energy,"the baseline, our goal is to increase the renewable energy share by 3% annually, reaching RE25 by 2025, RE72 by 2040, and RE100 by 2050.",116,0.84,Low,"Specific metric, target year, and evidence or validation are present."
ASEH,emissions,"zero emissions, and in 2024, our long-term net-zero target",117,0.85,Medium,"Specific claim, but missing specific metric, external validation."
ASEH,emissions,term carbon reduction targets (100% coverage).,117,0.86,Medium,"Specific claim, but missing target year."
ASEH,emissions,27% RE use at 42% RE use at production facilities 72% RE use at production Carbon removal technology,117,0.82,Medium,"Specific claim, but missing target year, external validation."
ASEH,emissions,product carbon 100% of RE use in offices within key 100% low carbonization of related methodologies,117,0.82,Medium,"Specific claim, but missing target year, external validation."
ASEH,emissions,"To actively implement the science-based emissions reduction targets approved by the Science Based Targets initiative (SBTi), ASEH has clearly defined both near-term and long-term",118,0.77,Medium,"Specific claim, but missing specific metric, target year."
ASEH,emissions,2030 Key Decarbonization 2030 Low-Carbon Transport Goals Achieve >50% revenue coverage 2030 Renewable Energy (RE) Targets Invested in over 2 forest management,118,0.95,Medium,"Specific claim, but missing external validation."
ASEH,emissions,Achieve 100% GHG inventory Company cars: 50% footprint assessments by 2030 Overall RE usage ≥ 42%,118,0.83,Medium,"Specific claim, but missing external validation."
ASEH,emissions,Achieve 80% product carbon key products by 2% each year,118,0.82,Medium,"Specific claim, but missing target year, external validation."
ASEH,emissions,"Currently, carbon pricing is implemented across towards net-zero emissions.",119,0.72,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,"In line with the concept of “implicit price,” each ASEH facility sets its own internal carbon prices (expressed in 43 USD/tCOe). trucks: The goal is to achieve 100% by 2040 and 2045.",119,0.82,Medium,"Specific claim, but missing external validation."
ASEH,emissions,"The budget would then be used in carbon reduction initiatives and low-carbon investments to reduce replacement of fossil fuel-powered vehicles, supporting",119,0.73,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,reduce Greenhouse Gas Fuel Intensity (GFI) over time,119,0.74,High,Vague or aspirational claim without a measurable KPI.
ASEH,renewable_energy,"The first step in our low-carbon product action plan is to establish a carbon inventory of products as a baseline In 2021, ASEH established the “Renewable Energy Platform” in response",120,0.84,Medium,"Specific claim, but missing specific metric, external validation."
ASEH,emissions,Low-carbon products ultimately help to reduce greenhouse gas emissions and minimize their impact,120,0.75,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,2040：Achieve 100% coverage of product carbon inventory,120,0.82,Medium,"Specific claim, but missing external validation."
ASEH,emissions,Reduce the carbon footprint of key products 2% per year Completed the Initiated the Achieve the target,120,0.82,Medium,"Specific claim, but missing target year, external validation."
ASEH,renewable_energy,increased the proportion of renewable energy used by our partners but also indirectly reduced,124,0.74,High,Vague or aspirational claim without a measurable KPI.
ASEH,emissions,"In line with ASEH’s commitment to the SBTi net-zero by 2050, we are progressively increasing",124,0.83,Medium,"Specific claim, but missing specific metric."
ASEH,renewable_energy,facilities1 obtained 100% of their electricity from renewable energy sources including RECs.,124,0.85,Medium,"Specific claim, but missing target year, external validation."
ASEH,emissions,AI management has also effectively reduced carbon emissions and resource consumption.,125,0.73,High,Vague or aspirational claim without a measurable KPI.
