company,category,claim,page,confidence_score,risk_level,risk_reason,analyst_note,specificity_score,measurability_score,evidence_strength,consistency_flag,review_priority,consistency_reason
TSMC,supply_chain,Reduce supplierNote 9 carbon emissions by Reduce supplier carbon emissions by 8% Reduced supplier carbon emissions by 4% comparing to BAU,87,0.84,Medium,"Specific claim, but missing target year, external validation.","Useful claim with measurable KPI, clear action language; review missing target year, external validation.",2,2,2,Moderate,Medium Review Priority,"specificity=2, measurability=2, evidence=2; has measurable KPI, quantitative value, implementation detail; missing target or reporting year, standard or validation reference."
TSMC,emissions,"the major emission source, accounted for 52%; annual target.",113,0.84,Medium,"Specific claim, but missing target year, external validation.","Useful claim with measurable KPI, clear action language; review missing target year, external validation.",2,2,1,Weak,High Review Priority,"specificity=2, measurability=2, evidence=1; has measurable KPI, quantitative value; missing target or reporting year, standard or validation reference, implementation detail."
TSMC,supply_chain,Achieve Breakthrough in Risk Management with 93% Closure Rate for Audited Supplier Deficiencies,96,0.84,Medium,"Specific claim, but missing target year, external validation.","Useful claim with measurable KPI, clear action language; review missing target year, external validation.",2,2,2,Moderate,Medium Review Priority,"specificity=2, measurability=2, evidence=2; has measurable KPI, quantitative value, implementation detail; missing target or reporting year, standard or validation reference."
TSMC,supply_chain,Supplier carbon emissions reduce rate (Comparing result from the BAU situation) - 2% 4%,265,0.84,Medium,"Specific claim, but missing target year, external validation.","Useful claim with measurable KPI, clear action language; review missing target year, external validation.",2,2,2,Moderate,Medium Review Priority,"specificity=2, measurability=2, evidence=2; has measurable KPI, quantitative value, implementation detail; missing target or reporting year, standard or validation reference."
ASEH,supply_chain,"internal carbon pricing was implemented at 100% of all global sites, strengthening shared commitment with supplier partners toward",12,0.83,Medium,"Specific claim, but missing target year, external validation.","Useful claim with measurable KPI, clear action language; review missing target year, external validation.",2,2,1,Weak,High Review Priority,"specificity=2, measurability=2, evidence=1; has measurable KPI, quantitative value, implementation detail; missing target or reporting year, standard or validation reference, broad aspirational wording."
ASEH,supply_chain,"100% of global facilities have implemented internal carbon pricing, Committing to Science Based Targets and CSA and CDP surveys.",106,0.83,Medium,"Specific claim, but missing target year.","Useful claim with measurable KPI, clear action language, validation signal; review missing target year.",2,3,2,Moderate,Medium Review Priority,"specificity=2, measurability=3, evidence=2; has measurable KPI, quantitative value, standard or validation reference; missing target or reporting year, implementation detail."
TSMC,renewable_energy,"92% of respondents had established emission external consultants, the Company also identified NT$84 million is allocated in funding 280 million kWh of green electricity",103,0.83,Medium,"Specific claim, but missing target year, external validation.","Useful claim with measurable KPI, clear action language; review missing target year, external validation.",2,2,1,Weak,High Review Priority,"specificity=2, measurability=2, evidence=1; has measurable KPI, quantitative value; missing target or reporting year, standard or validation reference, implementation detail."
ASEH,supply_chain,"In 2024, procurement from local suppliers1 is accounted for approximately 48.1% of our total procurement amount while",200,0.82,Medium,"Specific claim, but missing external validation.","Useful claim with measurable KPI, target year; review missing external validation.",3,2,1,Moderate,Medium Review Priority,"specificity=3, measurability=2, evidence=1; has measurable KPI, target or reporting year, quantitative value; missing standard or validation reference, implementation detail."
TSMC,supply_chain,"To expedite suppliers' shift to low-carbon operations, advancing supply chain carbon governance from a Greenhouse Gas Inventories certified all 40 supplier continued guidance to enhance green performance,",104,0.84,Medium,"Specific claim, but missing target year.","Useful claim with measurable KPI, clear action language, validation signal; review missing target year.",2,3,2,Moderate,Medium Review Priority,"specificity=2, measurability=3, evidence=2; has measurable KPI, quantitative value, standard or validation reference, implementation detail; missing target or reporting year, broad aspirational wording."
TSMC,governance,"the survey results and management actions for the 1,294 tier 1 suppliers in 2023 are disclosed, along with the total characteristics, and potential environmental, social, and governance negative impact risks.",85,0.83,Medium,"Specific claim, but missing external validation.","Useful claim with measurable KPI, target year; review missing external validation.",3,2,1,Moderate,Medium Review Priority,"specificity=3, measurability=2, evidence=1; has measurable KPI, target or reporting year, quantitative value; missing standard or validation reference, implementation detail."
TSMC,supply_chain,"Beginning in 2025, the Company will incorporate carbon reduction performance into its supplier selection criteria .",5,0.85,Medium,"Specific claim, but missing specific metric, external validation.","Useful claim with target year, clear action language; review missing metric, external validation.",2,1,2,Weak,High Review Priority,"specificity=2, measurability=1, evidence=2; has target or reporting year, quantitative value, implementation detail; missing measurable KPI, standard or validation reference."
ASEH,renewable_energy,"facilities’ energy consumption is sourced from renewables, with 88% upstream low-carbon transportation, and the development of a low",12,0.89,Medium,"Specific claim, but missing target year.","Useful claim with measurable KPI; review missing target year, external validation.",2,2,1,Weak,High Review Priority,"specificity=2, measurability=2, evidence=1; has measurable KPI, quantitative value; missing target or reporting year, standard or validation reference, implementation detail."
ASEH,renewable_energy,External Parameters energy with the goal of achieving RE100 by 2050.,112,0.84,Medium,"Specific claim, but missing specific metric.","Useful claim with target year, clear action language, validation signal; review missing metric.",1,2,1,Weak,High Review Priority,"specificity=1, measurability=2, evidence=1; has target or reporting year, standard or validation reference; missing measurable KPI, specific quantitative value, implementation detail."
ASEH,renewable_energy,"The first step in our low-carbon product action plan is to establish a carbon inventory of products as a baseline In 2021, ASEH established the “Renewable Energy Platform” in response",120,0.84,Medium,"Specific claim, but missing specific metric, external validation.","Useful claim with target year, clear action language; review missing metric, external validation.",1,1,1,Weak,High Review Priority,"specificity=1, measurability=1, evidence=1; has target or reporting year, implementation detail; missing measurable KPI, specific quantitative value, standard or validation reference."
TSMC,renewable_energy,Renewable energy used at overseas subsidiaries (%) 100% 100% 100%,267,0.88,Medium,"Specific claim, but missing target year.","Useful claim with measurable KPI; review missing target year, external validation.",2,2,1,Weak,High Review Priority,"specificity=2, measurability=2, evidence=1; has measurable KPI, quantitative value; missing target or reporting year, standard or validation reference, implementation detail."
TSMC,renewable_energy,Climate and Energy 10% Percentage of renewable energy used at all TSMC operation sites 60% 13%,29,0.87,Medium,"Specific claim, but missing target year.","Useful claim with measurable KPI; review missing target year, external validation.",2,2,1,Weak,High Review Priority,"specificity=2, measurability=2, evidence=1; has measurable KPI, quantitative value; missing target or reporting year, standard or validation reference, implementation detail."
TSMC,renewable_energy,Join RE100 to 2020 and Achieve RE100,113,0.82,Medium,"Specific claim, but missing specific metric.","Useful claim with target year, clear action language, validation signal; review missing metric.",1,2,1,Weak,High Review Priority,"specificity=1, measurability=2, evidence=1; has target or reporting year, standard or validation reference; missing measurable KPI, specific quantitative value, implementation detail."
ASEH,governance,"In 2023, the International Sustainability Standards Board (ISSB) issued the IFRS Sustainability Disclosure Standards (IFRS",5,0.86,Medium,"Specific claim, but missing specific metric, external validation.","Useful claim with target year; review missing metric, external validation.",1,1,0,Weak,High Review Priority,"specificity=1, measurability=1, evidence=0; has target or reporting year; missing measurable KPI, specific quantitative value, standard or validation reference, implementation detail."
ASEH,governance,implementation status of the Board and management levels within its quarterly and annual financial reports in 2024.,62,0.83,Medium,"Specific claim, but missing specific metric, external validation.","Useful claim with target year; review missing metric, external validation.",1,1,1,Weak,High Review Priority,"specificity=1, measurability=1, evidence=1; has target or reporting year, implementation detail; missing measurable KPI, specific quantitative value, standard or validation reference."
TSMC,governance,"the leadership of the ESG Steering Committee, the Company established 22 sustainability initiatives and 62 long",41,0.85,High,Vague or aspirational claim without a measurable KPI.,"Useful claim with clear action language; review missing metric, target year, external validation.",0,1,1,Weak,High Review Priority,"specificity=0, measurability=1, evidence=1; has implementation detail; missing measurable KPI, target or reporting year, specific quantitative value, standard or validation reference."
ASEH,governance,"2011, ASE established the ASE CIM Committee, a strategic Standards (SECS), equipment connectivity was",90,0.84,High,Vague or aspirational claim without a measurable KPI.,"Useful claim with clear action language; review missing metric, target year, external validation.",0,1,1,Weak,High Review Priority,"specificity=0, measurability=1, evidence=1; has implementation detail; missing measurable KPI, target or reporting year, specific quantitative value, standard or validation reference."
ASEH,governance,A cross-functional task force was established to bring together all subsidiary companies and include units responsible for risk,5,0.77,Medium,"Specific claim, but missing specific metric, target year.","Useful claim with clear action language; review missing metric, target year, external validation.",0,0,1,Weak,High Review Priority,"specificity=0, measurability=0, evidence=1; has implementation detail; missing measurable KPI, target or reporting year, specific quantitative value, standard or validation reference."
ASEH,governance,metrics These issues were formally presented to the Board of Directors and validated,43,0.73,Medium,"Specific claim, but missing specific metric, target year.","Useful claim with clear action language, validation signal; review missing metric, target year.",0,1,1,Weak,High Review Priority,"specificity=0, measurability=1, evidence=1; has standard or validation reference; missing measurable KPI, target or reporting year, specific quantitative value, implementation detail."
TSMC,governance,"establish TSMC’s Dynamic and Double Materiality employees responsible for driving sustainability to collectively examine the interrelationships Development, and Innovation Management— led",25,0.75,High,Vague or aspirational claim without a measurable KPI.,"Useful claim with clear action language; review missing metric, target year, external validation.",0,0,0,Weak,High Review Priority,"specificity=0, measurability=0, evidence=0; lacks measurable or verifiable detail."
TSMC,governance,Energy Saving and Carbon Reduction Committee defined the five major energy conservation teams and adopted the achievement,112,0.74,High,Vague or aspirational claim without a measurable KPI.,"Useful claim with clear action language; review missing metric, target year, external validation.",0,0,1,Weak,High Review Priority,"specificity=0, measurability=0, evidence=1; has implementation detail; missing measurable KPI, target or reporting year, specific quantitative value, standard or validation reference."
TSMC,governance,TSMC also established the PIP and Risk Committee environment and protecting customer proprietary,245,0.74,High,Vague or aspirational claim without a measurable KPI.,"Useful claim with clear action language; review missing metric, target year, external validation.",0,0,1,Weak,High Review Priority,"specificity=0, measurability=0, evidence=1; has implementation detail; missing measurable KPI, target or reporting year, specific quantitative value, standard or validation reference."
